Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XTZ,2019-06-04,1.195,1.215,1.24,1.101
XTZ,2019-06-05,1.326,1.195,1.444,1.155
XTZ,2019-06-06,1.317,1.326,1.427,1.237
XTZ,2019-06-07,1.272,1.317,1.33,1.22
XTZ,2019-06-08,1.224,1.272,1.282,1.18
XTZ,2019-06-09,1.298,1.224,1.32,1.202
XTZ,2019-06-10,1.298,1.298,1.311,1.166
XTZ,2019-06-11,1.276,1.298,1.302,1.232
XTZ,2019-06-12,1.274,1.276,1.318,1.251
XTZ,2019-06-13,1.231,1.274,1.29,1.19
XTZ,2019-06-14,1.245,1.231,1.268,1.213
XTZ,2019-06-15,1.296,1.245,1.308,1.237
XTZ,2019-06-16,1.323,1.296,1.35,1.281
XTZ,2019-06-17,1.226,1.323,1.35,1.21
XTZ,2019-06-18,1.199,1.226,1.291,1.165
XTZ,2019-06-19,1.13,1.199,1.208,1.06
XTZ,2019-06-20,1.167,1.13,1.224,1.026
XTZ,2019-06-21,1.218,1.167,1.257,1.129
XTZ,2019-06-22,1.184,1.218,1.24,1.175
XTZ,2019-06-23,1.162,1.184,1.19,1.05
XTZ,2019-06-24,1.089,1.162,1.172,1.05
XTZ,2019-06-25,1.077,1.089,1.175,0.98
XTZ,2019-06-26,0.9608,1.077,1.112,0.8801
XTZ,2019-06-27,1.002,0.9608,1.09,0.9538
XTZ,2019-06-28,1.026,1.002,1.04,0.924
XTZ,2019-06-29,0.9314,1.026,1.04,0.8835
XTZ,2019-06-30,0.9212,0.9314,0.9566,0.821
XTZ,2019-07-01,1.017,0.9212,1.115,0.8535
XTZ,2019-07-02,1.232,1.017,1.298,1.017
XTZ,2019-07-03,1.202,1.232,1.32,1.14
XTZ,2019-07-04,1.29,1.202,1.294,1.185
XTZ,2019-07-05,1.227,1.29,1.298,1.2
XTZ,2019-07-06,1.205,1.227,1.239,1.15
XTZ,2019-07-07,1.229,1.205,1.245,1.169
XTZ,2019-07-08,1.219,1.229,1.249,1.149
XTZ,2019-07-09,1.18,1.219,1.266,1.146
XTZ,2019-07-10,1.004,1.18,1.192,0.9501
XTZ,2019-07-11,1.071,1.004,1.09,0.9808
XTZ,2019-07-12,0.9939,1.071,1.09,0.94
XTZ,2019-07-13,0.95,0.9939,1.017,0.9274
XTZ,2019-07-14,0.9764,0.95,1.02,0.88
XTZ,2019-07-15,0.8713,0.9764,0.9825,0.84
XTZ,2019-07-16,0.9217,0.8713,0.9607,0.8282
XTZ,2019-07-17,0.9727,0.9217,0.9981,0.9015
XTZ,2019-07-18,0.977,0.9727,0.9892,0.9295
XTZ,2019-07-19,1.04,0.977,1.062,0.976
XTZ,2019-07-20,1.081,1.04,1.173,0.92
XTZ,2019-07-21,1.115,1.081,1.155,1.075
XTZ,2019-07-22,1.062,1.115,1.126,1
XTZ,2019-07-23,0.991,1.062,1.12,0.941
XTZ,2019-07-24,1.035,0.991,1.056,0.9818
XTZ,2019-07-25,1.04,1.035,1.05,1
XTZ,2019-07-26,1.008,1.04,1.06,0.9772
XTZ,2019-07-27,1.013,1.008,1.013,0.9701
XTZ,2019-07-28,1.011,1.013,1.038,0.9968
XTZ,2019-07-29,1.22,1.011,1.27,1
XTZ,2019-07-30,1.261,1.22,1.31,1.211
XTZ,2019-07-31,1.399,1.261,1.459,1.236
XTZ,2019-08-01,1.425,1.399,1.468,1.35
XTZ,2019-08-02,1.438,1.425,1.467,1.371
XTZ,2019-08-03,1.425,1.438,1.499,1.378
XTZ,2019-08-04,1.47,1.425,1.5,1.33
XTZ,2019-08-05,1.471,1.47,1.7,1.36
XTZ,2019-08-06,1.343,1.471,1.496,1.33
XTZ,2019-08-07,1.557,1.343,1.6,1.335
XTZ,2019-08-08,1.434,1.557,1.59,1.366
XTZ,2019-08-09,1.393,1.434,1.445,1.356
XTZ,2019-08-10,1.38,1.393,1.412,1.368
XTZ,2019-08-11,1.363,1.38,1.387,1.344
XTZ,2019-08-12,1.252,1.363,1.378,1.25
XTZ,2019-08-13,1.148,1.252,1.397,1.132
XTZ,2019-08-14,1.221,1.148,1.291,1.032
XTZ,2019-08-15,1.219,1.221,1.238,1.139
XTZ,2019-08-16,1.181,1.219,1.223,1.171
XTZ,2019-08-17,1.203,1.181,1.24,1.176
XTZ,2019-08-18,1.22,1.203,1.244,1.193
XTZ,2019-08-19,1.158,1.22,1.23,1.155
