Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2018-10-29,194.8325477753,203.1788494332,203.4123377958,191.7326567709
ETH,2018-10-30,195.6592733457,194.8167596256,196.7299371077,193.8500694826
ETH,2018-10-31,197.0437899669,195.6232280812,201.0498093104,191.997831672
ETH,2018-11-01,197.612072747,197.0173972922,199.10389813,196.1866602703
ETH,2018-11-02,200.2366084655,197.6045108843,202.108712636,197.550736933
ETH,2018-11-03,198.8207892263,200.0975344471,200.3921752497,197.4171043392
ETH,2018-11-04,208.8782947769,198.8230192827,217.0233341256,197.6643252445
ETH,2018-11-05,208.1085442238,208.8783482232,211.3735204106,205.4973262622
ETH,2018-11-06,217.0567250638,208.2853320487,218.2208761615,206.6812561174
ETH,2018-11-07,217.3580436845,217.0471092956,222.7811798668,215.2735181573
ETH,2018-11-08,211.5763539514,217.0699724989,218.6553370558,210.5914278588
ETH,2018-11-09,208.4317284318,211.57593733,213.1839261125,206.9690020442
ETH,2018-11-10,211.8943565057,208.3995708199,213.0927244749,208.0938402948
ETH,2018-11-11,208.7611235886,211.0099338298,211.8852580681,207.2667666431
ETH,2018-11-12,208.5602523866,210.7339958284,211.9604406773,207.1080151707
ETH,2018-11-13,204.0936777732,208.5605907593,209.0936663392,202.9688278035
ETH,2018-11-14,175.0018497825,204.0655348309,204.9560530272,169.958310927
ETH,2018-11-15,176.533829501,175.0102221517,180.9357014241,166.6484852528
ETH,2018-11-16,170.9644972963,179.3223967469,179.7508631458,170.0340649326
ETH,2018-11-17,172.4227590972,173.0264027568,174.806830636,171.1658317983
ETH,2018-11-18,174.2842340043,172.4072191816,179.6217579105,172.2452073034
ETH,2018-11-19,146.5471692079,174.2842246183,176.6941822427,142.5248828847
ETH,2018-11-20,125.7555887987,145.4402680489,149.9308201989,120.612173729
ETH,2018-11-21,133.2821790424,128.1980513562,137.4864008163,122.2559953247
ETH,2018-11-22,128.1883998952,133.2389623706,136.4927468009,126.8352930578
ETH,2018-11-23,122.6725869153,128.1883847113,128.2918743532,116.7809325888
ETH,2018-11-24,110.0448362641,122.6687730218,126.073782103,108.5709409657
ETH,2018-11-25,114.1145073904,111.2224859856,118.4747263313,98.8005450446
ETH,2018-11-26,104.3975845619,114.1155443288,116.7931259144,103.2724790231
ETH,2018-11-27,110.2687594118,104.3995032889,111.1176147175,99.8519402474
